"source_id","media_id","media","source_url","source_type","crawl_method","ok","status","fix_group","category","attempts","articles","discovered","attempted","detail_failures","inserted","updated","duplicated","invalid","failed","identity_mismatches","error_code","evidence","report","log"
"c922b766-29d1-48dd-a775-43ca6e770eb4","3ca72104-30ce-4592-810c-5e06aeaa4a78","天津海河传媒中心（天津广播电视台）","http://www.tjbs.com.cn","website","html","false","failed","原有/共用规则","WAF/403/412/访问拒绝","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:31[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://www.tjbs.com.cn -> Client error '403 Forbidden' for url 'http://www.tjbs.com.cn'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-c922b766-29d1-48dd-a775-43ca6e770eb4-76965f70-9279-4693-9269-db244a37b8f1.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-c922b766-29d1-48dd-a775-43ca6e770eb4-76965f70-9279-4693-9269-db244a37b8f1.log"
"8e7506de-a594-483a-b1c1-9eeec2ca5285","5fdd99b1-a9a9-4314-a93f-1bba505b442f","吉林日报","http://jlrbszb.cnjiwang.com","website","html","false","failed","原有/共用规则","HTTP 5xx（站点或代理）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:33[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://jlrbszb.cnjiwang.com -> Server error '502 Bad Gateway' for url 'http://jlrbszb.cnjiwang.com'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-8e7506de-a594-483a-b1c1-9eeec2ca5285-91cfc2e3-f0f0-45a8-ab43-3fd8625088f2.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-8e7506de-a594-483a-b1c1-9eeec2ca5285-91cfc2e3-f0f0-45a8-ab43-3fd8625088f2.log"
"30af6b43-ae6c-45ec-b4b3-25b8991dd212","9e880afd-a36a-40c6-9714-a27d128e25cd","贵州日报","http://www.gzrbs.com.cn","website","html","false","failed","原有/共用规则","HTTP 5xx（站点或代理）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:28[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://www.gzrbs.com.cn -> Server error '502 Bad Gateway' for url 'http://www.gzrbs.com.cn'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-30af6b43-ae6c-45ec-b4b3-25b8991dd212-badc013f-9f05-49d8-b971-20889e3dbf18.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-30af6b43-ae6c-45ec-b4b3-25b8991dd212-badc013f-9f05-49d8-b971-20889e3dbf18.log"
"43f9f894-8b41-43cf-ae55-33384f859190","c94bae33-0e38-465f-9ce2-f82f31095a5f","泰州广播电视台","http://www.tzta.com.cn","website","html","false","failed","原有/共用规则","配置缺失（未通过通用复用验证）","1","0","0","0","0","0","0","0","0","0","","configuration_missing","{""source_id"": ""43f9f894-8b41-43cf-ae55-33384f859190"", ""media_id"": ""c94bae33-0e38-465f-9ce2-f82f31095a5f"", ""source_url"": ""http://www.tzta.com.cn"", ""source_type"": ""website"", ""crawl_method"": ""html"", ""media"": ""泰州广播电视台"", ""run_id"": ""e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0"", ""attempt_id"": ""6e11bdc8-ea02-41a9-ae48-9f00d2c929d0"", ""started_at"": ""2026-09-24T05:42:28.693756+00:00"", ""success"": false, ""retryable"": false, ""attempted"": 0, ""discovered"": 0, ""failures"": [], ""successful_bodies"": 0, ""entry_urls"": [], ""error_code"": ""configuration_missing"", ""error"": ""No scraper registered for 泰州广播电视台"", ""failed"": 0, ""ended_at"": ""2026-09-24T05:42:28.742314+00:00""}","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-43f9f894-8b41-43cf-ae55-33384f859190-6e11bdc8-ea02-41a9-ae48-9f00d2c929d0.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-43f9f894-8b41-43cf-ae55-33384f859190-6e11bdc8-ea02-41a9-ae48-9f00d2c929d0.log"
"4649be6e-b8b0-497d-8e0f-863846af11f4","f0339351-e426-4be9-b35b-77d6880d17ad","宁夏日报报业集团","https://www.nxnews.net/","website","html","false","failed","原有/共用规则","WAF/403/412/访问拒绝","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:43[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: https://www.nxnews.net/ -> Client error '412 Precondition Failed' for url 'https://www.nxnews.net/'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-4649be6e-b8b0-497d-8e0f-863846af11f4-4e9373bf-6251-495d-8299-d0448fc69436.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-4649be6e-b8b0-497d-8e0f-863846af11f4-4e9373bf-6251-495d-8299-d0448fc69436.log"
"0e629bbb-b53b-4f4a-a005-0a2b3ffe4233","5801bac8-ccc0-42dd-8cd3-14e583a7a245","青海广播电视台","http://www.qhbtv.com","website","html","false","failed","原有/共用规则","配置缺失（未通过通用复用验证）","1","0","0","0","0","0","0","0","0","0","","configuration_missing","{""source_id"": ""0e629bbb-b53b-4f4a-a005-0a2b3ffe4233"", ""media_id"": ""5801bac8-ccc0-42dd-8cd3-14e583a7a245"", ""source_url"": ""http://www.qhbtv.com"", ""source_type"": ""website"", ""crawl_method"": ""html"", ""media"": ""青海广播电视台"", ""run_id"": ""e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0"", ""attempt_id"": ""e2f28dc0-387c-4d62-b3dc-8ef9b131cbad"", ""started_at"": ""2026-09-24T05:42:43.504606+00:00"", ""success"": false, ""retryable"": false, ""attempted"": 0, ""discovered"": 0, ""failures"": [], ""successful_bodies"": 0, ""entry_urls"": [], ""error_code"": ""configuration_missing"", ""error"": ""No scraper registered for 青海广播电视台"", ""failed"": 0, ""ended_at"": ""2026-09-24T05:42:43.540650+00:00""}","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-0e629bbb-b53b-4f4a-a005-0a2b3ffe4233-e2f28dc0-387c-4d62-b3dc-8ef9b131cbad.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-0e629bbb-b53b-4f4a-a005-0a2b3ffe4233-e2f28dc0-387c-4d62-b3dc-8ef9b131cbad.log"
"2f65d84e-bd75-4155-a5c4-b996a84e4015","029ab681-1e94-4c44-afb6-876fe0dccf20","新疆广播电视台","https://www.xjtvs.com.cn/","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-2f65d84e-bd75-4155-a5c4-b996a84e4015-4da24aed-2cca-4479-bddb-52c4d1367793.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-2f65d84e-bd75-4155-a5c4-b996a84e4015-4da24aed-2cca-4479-bddb-52c4d1367793.log"
"01ade713-0acc-44a4-8443-58e70841746e","169e4529-b024-4959-8321-a74c79a2df7a","石家庄日报","http://www.sjzdaily.com.cn/index.shtml","website","html","false","failed","原有/共用规则","WAF/403/412/访问拒绝","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:43[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://www.sjzdaily.com.cn/index.shtml -> Client error '412 Precondition Failed' for url 'http://www.sjzdaily.com.cn/index.shtml'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-01ade713-0acc-44a4-8443-58e70841746e-849f8250-d3b1-4f02-aba9-243cabe5e2ac.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-01ade713-0acc-44a4-8443-58e70841746e-849f8250-d3b1-4f02-aba9-243cabe5e2ac.log"
"c1c6806a-ae77-46d7-80f9-4deee21ef6fc","83abca40-dd7a-4e2d-8ee4-4307632964b9","北京广播电视台","http://www.rbc.cn","website","html","false","failed","原有/共用规则","未提取到列表链接（未证明当天无更新）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:50[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://www.rbc.cn -> Client error '405 Not Allowed' for url 'http://www.rbc.cn'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-c1c6806a-ae77-46d7-80f9-4deee21ef6fc-64777e4f-2186-471d-b13a-955f9bea652b.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-c1c6806a-ae77-46d7-80f9-4deee21ef6fc-64777e4f-2186-471d-b13a-955f9bea652b.log"
"4f0b06e7-d9e3-495f-a90f-b4e55c44157d","921f1b28-a033-4a35-9242-4b35f4121173","黔南广播电视台","http://www.qntv.net","website","html","false","failed","原有/共用规则","HTTP 5xx（站点或代理）","1","0","0","0","0","0","0","0","0","0","","empty_list","[32m2026-09-24 13:42:51[0m | [33m[1mWARNING [0m | [fetch] http 失败，准备 playwright: http://www.qntv.net -> Server error '502 Bad Gateway' for url 'http://www.qntv.net'","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-4f0b06e7-d9e3-495f-a90f-b4e55c44157d-7a38d6dd-8cac-4fc5-9c57-311c70f5ac93.json","e3f6940c-52f7-44b8-8566-f4fdc2ad4aa0-4f0b06e7-d9e3-495f-a90f-b4e55c44157d-7a38d6dd-8cac-4fc5-9c57-311c70f5ac93.log"
